Trait,Predictor,Species,Parameter,Median,Lower_95%,Upper_95%,pers
LDMC,Snow depth,Vaccinium myrtillus,β,-0.0194,-0.0272,-0.0119,1
LDMC,Snow depth,Vaccinium uliginosum,β,0.0235,0.0093,0.036,0.9977
LDMC,Snow depth,Vaccinium vitis-idaea,β,0.0028,-0.0063,0.0114,0.4583
LDMC,Snow melting day,Solidago virgaurea,β,-0.0409,-0.0656,-0.0157,0.999
LDMC,Snow melting day,Betula nana,β,-0.0036,-0.0115,0.0062,0.5705
LDMC,Snow melting day,Vaccinium myrtillus,β,0.0037,-0.0047,0.0124,0.6362
LDMC,Snow melting day,Vaccinium uliginosum,β,0.014,-0.007,0.0307,0.831
LDMC,Snow melting day,Vaccinium vitis-idaea,β,0.0184,0.0084,0.0276,0.9992
LDMC,Air temperature,Bistorta vivipara,β,0.0528,0.0279,0.0789,1
LDMC,Air temperature,Solidago virgaurea,β,0.0125,-0.0048,0.0287,0.847
LDMC,Air temperature,Betula nana,β,-8e-4,-0.0078,0.006,0.1867
LDMC,Air temperature,Vaccinium myrtillus,β,0.0044,-6e-4,0.0094,0.923
LDMC,Air temperature,Vaccinium uliginosum,β,0.0147,0.0039,0.0265,0.9915
LDMC,Air temperature,Vaccinium vitis-idaea,β,-0.0079,-0.0144,-0.0013,0.9777
LDMC,Soil temperature,Solidago virgaurea,β,-0.0032,-0.0269,0.0208,0.22
LDMC,Soil temperature,Betula nana,β,0.0048,-0.0021,0.0113,0.8318
LDMC,Soil temperature,Vaccinium myrtillus,β,0.0054,5e-4,0.0106,0.9685
LDMC,Soil temperature,Vaccinium uliginosum,β,-0.0248,-0.0384,-0.0114,0.9988
LDMC,Soil temperature,Vaccinium vitis-idaea,β,0.0074,7e-4,0.0139,0.9732
SLA,Soil moisture,Bistorta vivipara,β,-0.0423,-0.051,-0.0352,1
SLA,Soil moisture,Solidago virgaurea,β,0.043,0.0152,0.0694,0.9965
SLA,Soil moisture,Betula nana,β,0.0266,0.0133,0.0401,0.9997
SLA,Soil moisture,Vaccinium myrtillus,β,0.0149,0.0065,0.0232,0.9997
SLA,Soil moisture,Vaccinium uliginosum,β,0.036,0.0191,0.0507,1
SLA,Soil moisture,Vaccinium vitis-idaea,β,-0.0104,-0.026,0.0063,0.7905
SLA,Snow depth,Bistorta vivipara,β,-0.0855,-0.1019,-0.0705,1
SLA,Snow depth,Solidago virgaurea,β,-0.0063,-0.039,0.0263,0.3035
SLA,Snow depth,Betula nana,β,0.0203,0.0046,0.0366,0.988
SLA,Snow depth,Vaccinium myrtillus,β,0.0344,0.0217,0.0474,1
SLA,Snow depth,Vaccinium uliginosum,β,0.0362,0.0065,0.0697,0.9837
SLA,Snow depth,Vaccinium vitis-idaea,β,0.0035,-0.0177,0.0239,0.2623
SLA,Snow melting day,Solidago virgaurea,β,0.0656,0.0225,0.1061,0.996
SLA,Snow melting day,Betula nana,β,0.0207,-0.0036,0.0432,0.9045
SLA,Snow melting day,Vaccinium myrtillus,β,0.0166,0.0022,0.0303,0.9743
SLA,Snow melting day,Vaccinium uliginosum,β,-0.0041,-0.046,0.0369,0.1642
SLA,Snow melting day,Vaccinium vitis-idaea,β,-0.033,-0.0583,-0.0061,0.9808
SLA,Air temperature,Bistorta vivipara,β,-0.0606,-0.0919,-0.0218,0.9972
SLA,Air temperature,Solidago virgaurea,β,-0.003,-0.0288,0.0227,0.179
SLA,Air temperature,Betula nana,β,-0.0024,-0.0188,0.0135,0.2183
SLA,Air temperature,Vaccinium myrtillus,β,-0.0132,-0.0219,-0.0047,0.9975
SLA,Air temperature,Vaccinium uliginosum,β,-0.012,-0.0303,0.0062,0.8062
SLA,Air temperature,Vaccinium vitis-idaea,β,0.0042,-0.0117,0.02,0.4008
SLA,Soil temperature,Solidago virgaurea,β,-0.0122,-0.0468,0.0222,0.5003
SLA,Soil temperature,Betula nana,β,-0.0058,-0.0207,0.0093,0.5665
SLA,Soil temperature,Vaccinium myrtillus,β,-0.0116,-0.0201,-0.0028,0.9895
SLA,Soil temperature,Vaccinium uliginosum,β,0.0211,-0.0018,0.0434,0.9302
SLA,Soil temperature,Vaccinium vitis-idaea,β,-3e-4,-0.0163,0.0148,0.0275
