canonical_species_name,canonical_name,trait,value,unit,latitude,longitude,refid,DataOrigin,DatasetID,DataID
Vaccinium myrtillus,Vaccinium myrtillus,height,0.15,m,45.61667,6.13,TRY111,TRY,310,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.17,m,45.61667,6.13,TRY111,TRY,310,19
Vaccinium myrtillus,Vaccinium myrtillus,height,0.2,m,45.61667,6.13,TRY111,TRY,310,19
Solidago virgaurea,Solidago virgaurea,height,0.325,m,58.39012,22.9645,TRY303,TRY,320,19
Solidago virgaurea,Solidago virgaurea,height,0.27,m,58.39012,22.9645,TRY303,TRY,320,4029
Solidago virgaurea,Solidago virgaurea,height,0.43,m,58.39012,22.9645,TRY303,TRY,320,4030
Solidago virgaurea,Solidago virgaurea,height,0.277,m,58.39035,22.74598,TRY303,TRY,320,19
Solidago virgaurea,Solidago virgaurea,height,0.19,m,58.39035,22.74598,TRY303,TRY,320,4029
Solidago virgaurea,Solidago virgaurea,height,0.39,m,58.39035,22.74598,TRY303,TRY,320,4030
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.3,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.51,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.51,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.67,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.35,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.36,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.47,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.47,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.46,m,,,TRY309,TRY,421,504
Solidago virgaurea,Solidago virgaurea subsp. alpestris,height,0.57,m,,,TRY309,TRY,421,504
Betula nana,Betula nana,height,0.794328235,m,,,BIEN89,BIEN,,
Persicaria vivipara,Persicaria vivipara,height,0.04,m,40.053,-105.587,TTT4,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.051,m,40.053,-105.587,TTT4,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.042,m,40.053,-105.587,TTT4,TTT,,
Betula nana,Betula nana,height,0.01,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.09,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.15,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.16,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.18,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.19,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.2,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.22,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.24,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.26,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.27,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.28,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.29,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.3,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.32,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.35,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.43,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.09,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.11,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.12,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.13,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.14,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.15,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.16,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.17,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.18,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.19,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.2,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.21,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.22,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.23,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.25,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.26,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.27,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.29,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.3,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.01,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.02,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.03,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.04,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.05,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.06,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.07,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.08,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.12,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.13,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.15,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.16,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.22,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.06,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.12,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.13,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.14,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.17,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.18,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.19,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.2,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.21,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.22,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.23,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.3,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.35,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.37,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.4,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.42,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.02,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.04,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.05,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.11,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.15,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.17,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.2,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.25,m,61.64506,12.59014,TTT54,TTT,,
Betula nana,Betula nana,height,0.05,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.07,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.11,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.12,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.14,m,61.63542,12.6375,TTT54,TTT,,
Betula nana,Betula nana,height,0.04,m,62.10253,12.34458,TTT54,TTT,,
Betula nana,Betula nana,height,0.1,m,62.10253,12.34458,TTT54,TTT,,
Betula nana,Betula nana,height,0.4,m,62.06711,12.24481,TTT54,TTT,,
Betula nana,Betula nana,height,0.06,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.07,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.08,m,62.11508,12.27236,TTT54,TTT,,
Betula nana,Betula nana,height,0.17,m,67.77306,17.53611,TTT54,TTT,,
Betula nana,Betula nana,height,0.14,m,68.33694,21.32006,TTT54,TTT,,
Betula nana,Betula nana,height,0.05,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.07,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.08,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.09,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.11,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.15,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.16,m,68.33922,21.17958,TTT54,TTT,,
Betula nana,Betula nana,height,0.25,m,68.33922,21.17958,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.02,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.04,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.05,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.06,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.07,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.08,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.09,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.1,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.11,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.12,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.13,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.14,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.15,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.17,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.18,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.01,m,67.77306,17.53611,TTT54,TTT,,
Persicaria vivipara,Persicaria vivipara,height,0.03,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.04,m,62.10253,12.34458,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.07,m,62.10253,12.34458,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.01,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.02,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.03,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.04,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.05,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.06,m,67.77306,17.53611,TTT54,TTT,,
Solidago virgaurea,Solidago virgaurea,height,0.07,m,67.77306,17.53611,TTT54,TTT,,
